id;category;timer;question;image_desc;opt1;opt2;opt3;answer;explanation;speech
124;Inzicht;15;Je band klapt op de snelweg. Wat doe je?;Auto met lekke band icoon;Vol op de rem;Gas los, stuur vast, uitrollen;Direct naar vluchtstrook sturen;Gas los, stuur vast, uitrollen;Niet remmen (slipgevaar)! Laat de auto uitrollen en stuur rustig naar de kant.;Geen paniek! Stuur goed vasthouden, gas los en rustig naar de kant laten rollen.
125;Kennis;15;Het regent hard en je voelt dat de auto 'zweeft'. Wat is dit?;Auto in regenplassen;Aquaplaning;Slippen;Remfading;Aquaplaning;Bij aquaplaning drijft de band op een laagje water en heb je geen grip meer.;Dat heet aquaplaning. Je auto wordt een bootje. Gas loslaten!
126;Inzicht;15;Je ziet een bal op de weg. Wat verwacht je?;Bal op straat;Dat er niets gebeurt;Dat er een kind achteraan komt;Dat de wind hem blies;Dat er een kind achteraan komt;Inzicht: Bal = Kind. Wees alert.;Waar een bal is, is een kind. Altijd.
127;Inzicht;15;Welke bocht is gevaarlijker: links of rechts?;Bochtige weg;Links;Rechts;Even gevaarlijk;Rechts;Een rechterbocht is vaak scherper (kleinere straal) en je hebt minder zicht op tegenliggers.;Bochten naar rechts zijn vaak krapper en je ziet minder. Oppassen dus.
128;Inzicht;15;Je wilt afslaan. Wanneer kijk je in je spiegels?;Bestuurder kijkt in spiegel;Tijdens het draaien;Ruim van tevoren;Niet nodig;Ruim van tevoren;Je moet weten wat er achter je gebeurt VOORDAT je remt of richting aangeeft.;Eerst kijken, dan pas richting aangeven en remmen. Niet andersom!
129;Inzicht;15;Wat bespaart de meeste brandstof?;Toerenteller;Hard remmen;Uitrollen in versnelling;Motor uitzetten tijdens rijden;Uitrollen in versnelling;Bij uitrollen in de versnelling verbruikt de motor 0,0 brandstof (fuel cut-off).;Lekker laten uitrollen in de versnelling. Dat kost helemaal niks.
130;Inzicht;15;Wat doe je als je vermoeid raakt?;Gapende bestuurder;Raam open;Stoppen en rusten;Harde muziek;Stoppen en rusten;De enige echte oplossing voor vermoeidheid is rust (powernap 15 min).;Als je moe bent, moet je stoppen. Raam open of muziek helpt echt niet.
131;Kennis;15;Wat is de maximumsnelheid op een autoweg?;Bord autoweg G3;80 km/u;100 km/u;120 km/u;100 km/u;Op een autoweg (bord G3) mag je 100 km/u, tenzij anders aangegeven.;Autoweg is 100. Snelweg is 130. Simpel toch?
132;Kennis;15;Wat betekent een geel bord met 'omleiding'?;Geel bord met tekst omleiding;Adviesroute;Verplichte route;Toeristische route;Verplichte route;Niet wettelijk verplicht, maar wel de enige logische weg om je bestemming te bereiken.;Gewoon de borden volgen, anders kom je er nooit.
133;Kennis;15;Wie is verantwoordelijk voor de autogordel van een passagier van 15 jaar?;Passagier 15 jaar in auto;De bestuurder;De passagier zelf;De ouders;De passagier zelf;Vanaf 12 jaar is de passagier ZELF verantwoordelijk voor het dragen van de gordel.;Hij is 15, dus hij moet het zelf weten. Hij krijgt ook zelf de boete.
134;Kennis;15;Mag je parkeren voor een inrit?;Auto voor oprit huis;Ja;Nee;Alleen je eigen inrit;Nee;Je mag een inrit/uitrit nooit blokkeren, ook niet van jezelf.;Nee, je mag niemands inrit blokkeren. Asociaal.
135;Kennis;15;Wat is de minimale profieldiepte van een zomerband?;Autoband profielmeter;1,0 mm;1,6 mm;2,0 mm;1,6 mm;De wettelijke eis voor APK is minimaal 1,6 mm profiel.;1,6 millimeter is de grens. Daaronder is het een gladde slicks band.
136;Kennis;15;Wat betekent een groen verkeerslicht?;Groen stoplicht;Doorrijden;Stoppen;Gas geven;Doorrijden;Groen betekent: doorgaan indien de weg vrij is.;Groen is gaan! Mits het veilig is natuurlijk.
137;Kennis;15;Wanneer mag je geluidssignalen geven?;Stuur met toeter;Om te groeten;Bij dreigend gevaar;Als iemand niet doorrijdt;Bij dreigend gevaar;Je mag alleen toeteren om een direct gevaar af te wenden.;Alleen toeteren als het écht mis dreigt te gaan. Niet om te zwaaien.
138;Kennis;15;Heeft een tram voorrang op een zebrapad?;Tram nadert zebrapad;Ja;Nee;Alleen van rechts;Ja;Een tram is een uitzondering en hoeft voetgangers op een zebrapad NIET voor te laten gaan.;De tram is groot en zwaar. Die stopt niet voor een zebrapad.
139;Kennis;15;Wat is de volgafstand bij 80 km/u?;Auto's achter elkaar op N-weg;10 meter;40 meter;100 meter;40 meter;Vuistregel: helft van de snelheid in meters. Of 2 seconden regel.;Ongeveer de helft van je snelheid. Dus bij 80 is dat 40 meter.
140;Kennis;15;Mag je fietsers inhalen op een fietsstraat?;Fietsstraat bord auto achter fietser;Ja;Nee;Alleen stapvoets;Ja;Je mag fietsers inhalen, maar je mag ze nooit hinderen. Auto is te gast.;Ja, maar je bent te gast. Dus heel voorzichtig inhalen en niet opjagen.
141;Inzicht;15;Je rijdt een tunnel in. Wat doe je?;Tunnel ingang;Dimlicht aan;Zonnebril op;Alarmlichten aan;Dimlicht aan;Zichtbaarheid is cruciaal in een tunnel. Dimlicht is verplicht.;Licht aan in het donker! Ook in de tunnel.
142;Gevaarherkenning;8;Snelweg. Je wordt ingehaald en de auto snijdt je af.;Auto voegt te vroeg in voor je neus;Remmen;Gas loslaten;Niets;Gas loslaten;Even ruimte maken om veilige afstand te herstellen. Remmen is vaak te heftig op snelweg.;Die eikel snijdt je af. Even gas los om weer afstand te krijgen.
143;Gevaarherkenning;8;Bebouwde kom. Auto voor je gaat parkeren.;Auto voor je remt en gaat rechts staan;Remmen;Gas loslaten;Niets;Gas loslaten;Snelheid eruit halen, misschien moet je stoppen of eromheen.;Hij gaat parkeren. Gas los en kijk of je er langs kunt.
144;Gevaarherkenning;8;Je rijdt 60. Fietser slingert.;Polderweg slingerende fietser;Remmen;Gas loslaten;Niets;Gas loslaten;Wees voorbereid op een valpartij of uitwijkmanoeuvre.;Die fietser heeft gedronken ofzo. Gas los en goed opletten.
145;Gevaarherkenning;8;Kruispunt. Verkeerslicht is kapot (geel knipper).;Kruispunt met knipperend oranje licht;Remmen;Gas loslaten;Niets;Gas loslaten;Extra voorzichtigheid geboden. Kijk goed naar de voorrangsborden.;Stoplichten doen het niet. Gas los en heel goed kijken wie voorrang heeft.
146;Gevaarherkenning;8;Snelweg. Je ziet een filebord boven de weg.;Matrixborden geven file aan;Remmen;Gas loslaten;Niets;Gas loslaten;Je ziet het bord, dus je weet dat je snelheid moet minderen.;File in zicht! Gas los en laat hem maar uitrollen.
147;Gevaarherkenning;8;Woonwijk. Drempel.;Verkeersdrempel bord;Remmen;Gas loslaten;Niets;Remmen;Voor een drempel moet je echt remmen om schade te voorkomen.;Remmen voor die drempel, anders lanceer je ons!
148;Gevaarherkenning;8;Provinciale weg. Tegenligger heeft groot licht aan.;Verblindende koplampen tegenligger;Remmen;Gas loslaten;Niets;Gas loslaten;Je wordt verblind, dus je ziet minder. Snelheid aanpassen.;Oef, die verblindt je. Gas los en kijk naar de rechterkantlijn.
319;Kennis;15;Wat doet Lane Keeping Assist?;Dashboard met groen icoon van auto tussen lijnen;Stuurt je terug als je over de lijn gaat;Geeft alleen een piepje;Remt de auto af;Stuurt je terug als je over de lijn gaat;Dit systeem corrigeert de besturing om je binnen de rijstrook te houden.;Lane Keeping Assist stuurt je netjes terug tussen de lijntjes.
320;Inzicht;15;Je rijdt met Adaptive Cruise Control. Er voegt een auto vlak voor je in. Wat doet het systeem?;Snelweg bestuurdersperspectief auto voegt kort in;Blijft dezelfde snelheid rijden;Remt af om afstand te herstellen;Schakelt zichzelf uit;Remt af om afstand te herstellen;ACC past automatisch de snelheid aan om de ingestelde volgafstand te behouden.;De auto remt zelf af om weer veilige afstand te krijgen.
321;Kennis;15;Wat betekent dit symbool (kopje koffie)?;Dashboard lampje kopje koffie;Tijd voor pauze (vermoeidheid);Koffiezetapparaat aan;Motor is warm;Tijd voor pauze (vermoeidheid);Dit is de vermoeidheidsherkenning. Het adviseert je om te rusten.;Dat kopje betekent: Eefje, je wordt moe! Tijd voor een break.
322;Inzicht;15;Je dodehoekwaarschuwing (lampje in spiegel) brandt. Mag je van rijstrook wisselen?;Zicht in buitenspiegel met oranje lampje aan;Ja, als je snel bent;Nee, er zit iemand naast je;Ja, het is maar een advies;Nee, er zit iemand naast je;Het lampje geeft aan dat er een voertuig in je dode hoek zit.;Niet gaan! Dat lampje brandt niet voor niets, er zit iemand naast je.
323;Kennis;15;Is een snelheidsbegrenzer (limiter) hetzelfde als Cruise Control?;Stuurwiel met knopjes;Ja;Nee;;Nee;Cruise control houdt snelheid vast, een begrenzer voorkomt dat je harder gaat dan ingesteld.;Nee joh, cruise control is gas vastzetten, begrenzer is een plafond voor je snelheid.
324;Inzicht;15;Je wilt een rotonde oprijden. Een fietser rijdt al op de rotonde. Wie heeft voorrang?;Rotonde nadering met fietser;Ik (de auto);De fietser;;De fietser;Bestuurders OP de rotonde hebben vrijwel altijd voorrang op bestuurders die erop willen.;De fietser gaat voor, hij zit al op de rotonde.
325;Kennis;15;Heeft een militaire colonne met vlaggen voorrang op een gelijkwaardig kruispunt?;Kruispunt met militair voertuig;Ja, altijd;Nee, nooit;Alleen het eerste voertuig;Ja, altijd;Een militaire colonne mag je niet doorsnijden op een gelijkwaardig kruispunt.;Ja, die colonne mag je niet breken. Even wachten dus.
326;Inzicht;15;Je rijdt een uitrit uit. Van links komt een voetganger op de stoep. Wie gaat voor?;Auto komt uit oprit, voetganger loopt op trottoir;De auto;De voetganger;;De voetganger;Bij een uitrit moet je al het overige verkeer (dus ook voetgangers) voor laten gaan.;Jij komt uit een uitrit, dus jij bent de sjaak. Iedereen gaat voor.
327;Inzicht;15;De tram komt van links op een gelijkwaardig kruispunt. Wie heeft voorrang?;Stadscentrum kruising met tram;De tram;Ik (de auto);;De tram;Op gelijkwaardige kruispunten heeft de tram altijd voorrang, ook van links.;Trams zijn de baas op gelijkwaardige kruispunten. Altijd.
328;Kennis;15;Wat is de maximale snelheid op een woonerf?;Bord woonerf;15 km/u (stapvoets);30 km/u;50 km/u;15 km/u (stapvoets);In een woonerf geldt stapvoets rijden, wat juridisch 15 km/u is.;Stapvoets! Dat is dus 15 kilometer per uur. Heel rustig aan.
329;Kennis;15;Je ziet bord A1 (max 100). Daaronder een bord '6-19h'. Het is 20:00 uur. Hoe hard mag je?;Snelwegbord 100 met onderbord 6-19h;100 km/u;120 of 130 km/u;80 km/u;120 of 130 km/u;Na 19:00 uur geldt de standaardlimiet (meestal 130, tenzij anders aangegeven).;Het is na zevenen, dus het bord geldt niet meer. Gas erop (130)!
330;Kennis;15;Welke kleur hebben tijdelijke borden bij wegwerkzaamheden?;Wegwerkzaamheden situatie;Blauw;Geel;Wit;Geel;Gele borden geven tijdelijke situaties en omleidingen aan.;Geel is tijdelijk, let op werkzaamheden.
331;Inzicht;15;Je rijdt op een autoweg (bord G3). Er rijdt een tractor voor je. Mag je die inhalen over een doorgetrokken streep?;Autoweg met tractor en doorgetrokken streep;Ja;Nee;;Nee;Een doorgetrokken streep mag je nooit overschrijden, ook niet voor een tractor.;Nee, die streep is een muur. Geduld hebben!
332;Kennis;15;Wat betekent een blauw vierkant bord met een witte P en een symbool van een stekker?;Bord P met stekker;Parkeren voor iedereen;Alleen voor elektrische auto's die laden;Parkeren voor elektriciens;Alleen voor elektrische auto's die laden;Deze plaats is gereserveerd voor het opladen van elektrische voertuigen.;Alleen parkeren als je een stekkerauto hebt én gaat laden.
333;Kennis;15;Wanneer verbruik je meer brandstof?;Auto met dakkoffer;Met open ramen;Met airco aan;Allebei;Allebei;Zowel open ramen (luchtweerstand) als airco (motorbelasting) verhogen verbruik.;Allebei kosten extra benzine. Zuinig rijden is een kunst!
334;Kennis;15;Wat is de minimale profieldiepte voor winterbanden (aanbevolen)?;Autoband profiel;1,6 mm;4,0 mm;2,0 mm;4,0 mm;Wettelijk is 1,6mm, maar voor winterse werking wordt 4mm aanbevolen.;Voor de wet 1,6, maar in de sneeuw wil je echt 4 millimeter hebben.
335;Inzicht;15;Je ziet een oranje waarschuwingslampje op je dashboard. Moet je direct stoppen?;Dashboard oranje motorlampje;Ja, direct in de berm;Nee, maar wel z.s.m. naar de garage;;Nee, maar wel z.s.m. naar de garage;Rood is stoppen, oranje is controleren/garage bezoeken.;Oranje betekent: hé, let op! Even naar de garage, maar je hoeft niet direct de berm in.
336;Kennis;15;Het regent keihard (hoosbui). Mag je mistlicht achter aan?;Slecht zicht door regen;Ja;Nee;;Nee;Mistlicht achter mag ALLEEN bij mist/sneeuw <50m zicht. NOOIT bij regen.;Nee! Bij regen verblindt dat ding enorm. Uitlaten.
337;Inzicht;15;Je rijdt een tunnel in. Welk licht voer je?;Ingang donkere tunnel;Dagrijverlichting;Dimlicht;Grootlicht;Dimlicht;In een tunnel moet je dimlicht voeren (achterlichten moeten branden).;Licht aan in de tunnel! Dimlicht dus.
338;Gevaarherkenning;8;Bebouwde kom. Smalle straat. Tegenligger.;Smalle straat auto komt tegemoet;Remmen;Gas loslaten;Niets;Gas loslaten;Snelheid eruit halen om te kijken of het past.;Even gas los, past dit wel?
339;Gevaarherkenning;8;Snelweg. Uitvoegstrook is vol.;Snelweg afrit file;Remmen;Gas loslaten;Niets;Gas loslaten;Niet vol remmen op de rechterbaan, maar wel snelheid minderen.;Gas los, let op die file op de afrit.
340;Gevaarherkenning;8;Buitenweg. Tractor komt uit het land gereden.;N-weg tractor uit weiland;Remmen;Gas loslaten;Niets;Remmen;Groot risico op modder of dat hij de weg op draait. Remmen.;Remmen! Die boer ziet jou misschien niet en gooit 'm zo de weg op.
341;Gevaarherkenning;8;Stad. Voetganger kijkt op telefoon bij oversteekplaats.;Zebrapad met bellende voetganger;Remmen;Gas loslaten;Niets;Remmen;Hij let niet op en kan zo oversteken.;Remmen Eef! Die zombie kijkt niet uit.
342;Gevaarherkenning;8;Snelweg. Hevige regenval.;Snelweg ruitenwissers aan;Remmen;Gas loslaten;Niets;Gas loslaten;Snelheid aanpassen aan zicht en water.;Gas eraf, anders ga je glijden.
343;Gevaarherkenning;8;Woonwijk. Bal rolt weg, kind staat al stil op stoep.;Woonwijk kind op stoep kijkt naar bal;Remmen;Gas loslaten;Niets;Gas loslaten;Kind staat stil, maar blijft onvoorspelbaar.;Gas los. Hij staat stil, maar je weet het nooit.
344;Gevaarherkenning;8;80 km weg. Scherpe bocht naar links.;Bocht naar links waarschuwingsbord;Remmen;Gas loslaten;Niets;Gas loslaten;Voor de bocht snelheid eruit.;Gas los voor de bocht, anders vlieg je eruit.
345;Gevaarherkenning;8;Rotonde nadering. Het is druk.;Rotonde druk verkeer;Remmen;Gas loslaten;Niets;Gas loslaten;Je moet waarschijnlijk stoppen of voorrang verlenen.;Gas los, je moet zo misschien stoppen.
346;Gevaarherkenning;8;Verkeerslicht op groen. Kruispunt is nog niet vrij.;Kruispunt groen licht maar auto blokkeert;Remmen;Gas loslaten;Niets;Gas loslaten;Je kunt niet doorrijden ook al is het groen.;Even wachten, je kunt er toch niet langs.
347;Gevaarherkenning;8;Snelweg. Vrachtwagen gaat inhalen.;Snelweg vrachtwagen knipperlicht aan;Remmen;Gas loslaten;Niets;Gas loslaten;Anticiperen op lagere snelheid voor je.;Gas los, die vrachtwagen is traag.
348;Kennis;15;Wat is de maximale breedte van een auto (inclusief lading)?;Brede auto;2,20 meter;2,55 meter;3,00 meter;2,55 meter;De standaard maximale breedte is 2,55 meter.;2 meter 55. Onthouden!
349;Inzicht;15;Je staat in de file. Er komt een ambulance met zwaailicht aan.;File met ambulance in spiegel;Vluchtstrook op;Ruimte maken (reddingsstrook);Gewoon blijven staan;Ruimte maken (reddingsstrook);Wijk uit naar links en rechts zodat het midden vrijkomt.;Opzij! Maak een gangetje in het midden vrij.
350;Kennis;15;Hoelang is je theoriecertificaat geldig?;Certificaat papiertje;1 jaar;1,5 jaar;2 jaar;1,5 jaar;Je theorie is 1,5 jaar geldig.;Anderhalf jaar. Dus opschieten met rijden!
351;Inzicht;15;Je rijdt met een aanhanger. Hij begint te slingeren. Wat doe je?;Auto met aanhanger slingert;Gas geven om te trekken;Krachtig remmen;Tegensturen;Krachtig remmen;De enige manier om een slingerende aanhanger te stoppen is remmen (snelheid eruit).;Remmen! Niet gas geven, dat is een fabeltje. Snelheid moet eruit.
352;Kennis;15;Welk licht is verboden tijdens het rijden?;Auto verlichting;Dimlicht;Stadslicht (alleen);Dagrijverlichting;Stadslicht (alleen);Je mag 's nachts niet rijden met alleen stadslicht. Dimlicht moet aan.;Alleen stadslicht is voor parkeren. Rijden doe je met dimlicht.
353;Inzicht;15;Je wilt linksaf. Er is een voorsorteervak. Er staat een pijl naar links. Mag je nog rechtdoor?;Voorsorteervak met pijl;Ja;Nee;;Nee;Je moet de richting van de pijl volgen.;Nee, pijl is pijl. Je moet nu afslaan.
354;Kennis;15;Wat is de reactietijd van een gemiddelde bestuurder?;Denkend poppetje;0,5 seconde;1 seconde;2 seconden;1 seconde;Men rekent met gemiddeld 1 seconde reactietijd.;Eén seconde. Tel maar: eenentwintig.
355;Inzicht;15;Je rijdt 50. Je wilt muziek opzetten op je telefoon.;Telefoon in hand;Mag, als je snel bent;Mag alleen in een houder;Mag nooit tijdens rijden;Mag alleen in een houder;Je mag een elektronisch apparaat niet vasthouden tijdens het rijden.;Alleen als ie in een houder zit. Niet vasthouden!
356;Kennis;15;Wat betekent een gele doorgetrokken streep langs de stoep?;Gele streep op stoeprand;Niet parkeren;Niet stilstaan;Zone voor laden/lossen;Niet stilstaan;Geel doorgetrokken = niet stilstaan. Geel onderbroken = niet parkeren.;Geel doorgetrokken is: doorrijden! Je mag hier niet eens stilstaan.
357;Inzicht;15;Er ligt sneeuw op het dak van je auto. Moet je dit weghalen?;Auto met pak sneeuw op dak;Nee, waait wel weg;Ja, verplicht;Alleen van de voorruit;Ja, verplicht;Losse lading (sneeuw/ijs) kan gevaarlijk zijn voor anderen.;Ja, schoonmaken! Anders vliegt die plaat ijs op je achterligger.
358;Kennis;15;Vanaf welke leeftijd mag je rijlessen nemen?;Jongere in auto;16 jaar;16,5 jaar;17 jaar;16,5 jaar;Starten met lessen mag vanaf 16,5 jaar.;Zestien en een half mag je beginnen.
359;Inzicht;15;Je ziet een bord 'Zone 60'. Er zijn geen lijnen op de weg. Waar rijd je?;Polderweg zonder lijnen;Midden van de weg;Zoveel mogelijk rechts;Links;Zoveel mogelijk rechts;Plaats op de weg is rechts.;Gewoon rechts houden, ook al zijn er geen lijnen.
360;Kennis;15;Wat is APK?;Monteur bij auto;Algemene Periodieke Keuring;Auto Pech Keuring;Algemene Politie Controle;Algemene Periodieke Keuring;Verplichte technische keuring.;Algemene Periodieke Keuring. Even checken of je bakkie nog veilig is.
361;Inzicht;15;Je ruitenwissers laten strepen achter. Wat is het gevaar?;Regen op voorruit strepen;Irritant geluid;Slecht zicht;Krassen op ruit;Slecht zicht;Slecht zicht is het grootste veiligheidsrisico.;Je ziet niks meer. Levensgevaarlijk.
362;Kennis;15;Wat is de maximumsnelheid op een woonerf?;Bord woonerf;15 km/u;30 km/u;50 km/u;15 km/u;Stapvoets = 15 km/u.;15. Stapvoets.
363;Inzicht;15;Je ziet een fietser met een rood-witte stok. Wat betekent dat?;Fietser met blindenstok;Hij is slechtziend/blind;Hij heeft voorrang;Hij regelt verkeer;Hij is slechtziend/blind;Dit is een blinde of slechtziende. Voorzichtig!;Die meneer is blind. Goed opletten en ruimte geven.
364;Kennis;15;Mag je met mistachterlicht rijden in de file bij regen?;File in regen;Ja;Nee;;Nee;Nooit bij regen.;Nee! Bij regen is mistlicht verboden.
365;Inzicht;15;Je rijdt op de invoegstrook. Je rijdt even hard als het verkeer op de snelweg. Wat doe je?;Invoegstrook snelweg;Remmen en erachter gaan;Invoegen;Vluchtstrook op;Invoegen;Snelheid maken en invoegen.;Gewoon invoegen, je hebt de snelheid al.
